object+AF8-id,centroids+AF8-x,centroids+AF8-y,aspect+AF8-ratio,area,frames,scores,counted,ground_truth
7,42,2437,0,0,17,0.72,TRUE,1
7,53,2421,10.3240740740741,120420,18,0.43,TRUE,1
7,58,2370,10.9396551724138,147204,19,0.27,TRUE,1
7,67,2224,9.94927536231884,189474,20,0.45,TRUE,1
7,87,2344,10.6939890710383,358131,21,0.78,TRUE,1
7,103,2397,9.04245283018868,406404,22,0.83,TRUE,1
7,115,2428,8.33189655172414,448456,23,0.79,TRUE,1
7,125,2449,7.90573770491803,470676,24,0.85,TRUE,1
7,139,2495,7.1937984496124,478848,25,0.87,TRUE,1
7,155,2504,6.99261992619926,513545,26,0.89,TRUE,1
7,180,2514,7.14448669201521,494177,27,0.88,TRUE,1
7,203,2515,7.08270676691729,501144,28,0.89,TRUE,1
7,228,2518,7.33463035019455,484445,29,0.86,TRUE,1
7,256,2502,7.372,460750,30,0.81,TRUE,1
7,281,2506,7.63855421686747,473598,31,0.82,TRUE,1
7,300,2520,7.46124031007752,496650,32,0.8,TRUE,1
7,321,2526,7.88284518828452,450276,33,0.79,TRUE,1
7,342,2532,7.42125984251969,478790,34,0.85,TRUE,1
7,361,2527,7.51984126984127,477540,35,0.85,TRUE,1
7,383,2539,7.06415094339623,496080,36,0.86,TRUE,1
7,405,2534,7.74074074074074,457083,37,0.86,TRUE,1
7,426,2537,7.79253112033195,452598,38,0.79,TRUE,1
7,446,2524,8.02941176470588,454818,39,0.23,TRUE,1
7,462,2534,7.71544715447155,466908,40,0.18,TRUE,1
7,483,2541,7.51574803149606,484886,41,0.38,TRUE,1
7,503,2548,7.9364406779661,442028,42,0.3,TRUE,1
7,520,2559,7.88983050847458,439432,43,0.24,TRUE,1
7,538,2562,7.3062015503876,486330,44,0.15,TRUE,1
7,555,2570,7.81012658227848,438687,45,0.1,TRUE,1
7,575,2580,7.13157894736842,504602,46,0.31,TRUE,1
7,598,2578,7.5609756097561,457560,47,0.81,TRUE,1
7,619,2583,7.76113360323887,473499,48,0.83,TRUE,1
7,634,2588,7.99166666666667,460320,49,0.11,TRUE,1
7,656,2596,7.4031007751938,492780,50,0.2,TRUE,1
7,682,2593,7.79352226720648,475475,51,0.22,TRUE,1
7,705,2592,7.90534979423868,466803,52,0.13,TRUE,1
7,728,2593,8.12765957446809,448850,53,0.14,TRUE,1
7,752,2604,7.13483146067416,508635,54,0.12,TRUE,1
7,780,2606,7.2621722846442,517713,55,0.17,TRUE,1
7,811,2592,7.71814671814672,517741,56,0.1,TRUE,1
7,842,2595,7.70656370656371,516964,57,0.13,TRUE,1
7,879,2595,8.35537190082645,489324,58,0.84,TRUE,1
7,909,2594,7.46570397111913,572836,59,0.87,TRUE,1
7,954,2605,7.63602941176471,564944,60,0.81,TRUE,1
7,981,2641,7.04912280701754,572565,61,0.82,TRUE,1
7,1011,2649,7.44280442804428,546607,62,0.85,TRUE,1
7,1046,2660,7.27075812274368,557878,63,0.85,TRUE,1
7,1082,2669,7.89019607843137,513060,64,0.76,TRUE,1
7,1116,2695,7.08185053380783,559190,65,0.76,TRUE,1
7,1147,2708,7.0034965034965,572858,66,0.71,TRUE,1
7,1182,2703,7.37132352941176,545360,67,0.81,TRUE,1
7,1217,2705,7.41758241758242,552825,68,0.88,TRUE,1
7,1244,2715,7.26595744680851,577818,69,0.84,TRUE,1
7,1270,2723,7.63670411985019,544413,70,0.8,TRUE,1
7,1298,2725,7.16083916083916,585728,71,0.85,TRUE,1
7,1324,2731,7.09278350515464,600624,72,0.86,TRUE,1
7,1354,2732,7.21678321678322,590304,73,0.83,TRUE,1
7,1378,2736,6.95348837209302,629993,74,0.84,TRUE,1
7,1412,2741,7.01006711409396,622522,75,0.87,TRUE,1
7,1447,2749,7.60727272727273,575300,76,0.81,TRUE,1
7,1476,2760,7.03030303030303,620136,77,0.87,TRUE,1
7,1506,2766,6.88448844884488,632058,78,0.89,TRUE,1
7,1542,2762,7.41696113074205,594017,79,0.78,TRUE,1
7,1568,2768,7.26206896551724,610740,80,0.81,TRUE,1
7,1604,2767,7.28125,603936,81,0.83,TRUE,1
7,1637,2766,7.97318007662835,543141,82,0.77,TRUE,1
7,1670,2770,8.0077519379845,533028,83,0.84,TRUE,1
7,1698,2770,7.42293906810036,577809,84,0.8,TRUE,1
7,1722,2776,6.95317725752508,621621,85,0.84,TRUE,1
7,1746,2768,7.52707581227437,577545,86,0.8,TRUE,1
7,1780,2764,7.72962962962963,563490,87,0.7,TRUE,1
