object+AF8-id,centroids+AF8-x,centroids+AF8-y,aspect+AF8-ratio,area,frames,scores,counted,ground+AF8-truth
1543,1235,2810,0,0,0,0.76,TRUE,1
1543,1244,2814,6.44654088050315,651900,1,0.76,TRUE,1
1543,1263,2810,6.63870967741936,637980,2,0.77,TRUE,1
1543,1285,2826,6.65346534653465,610848,3,0.74,TRUE,1
1543,1308,2850,7.11956521739131,542340,4,0.72,TRUE,1
1543,1320,2852,6.88501742160279,567112,5,0.73,TRUE,1
1543,1318,2823,6.27051671732523,678727,6,0.66,TRUE,1
1543,1337,2836,6.6158940397351,603396,7,0.71,TRUE,1
1543,1343,2834,6.68770764119601,605913,8,0.66,TRUE,1
1543,1346,2830,6.53225806451613,627750,9,0.7,TRUE,1
1543,1360,2831,7.28158844765343,558709,10,0.63,TRUE,1
1543,1365,2814,6.75816993464052,632808,11,0.63,TRUE,1
1543,1376,2823,7.09473684210526,576270,12,0.79,TRUE,1
1543,1377,2816,7.03767123287671,600060,13,0.7,TRUE,1
1543,1385,2813,7.16376306620209,590072,14,0.77,TRUE,1
1543,1386,2815,7.12891986062718,587202,15,0.51,TRUE,1
1543,1387,2811,6.99659863945578,604758,16,0.65,TRUE,1
1543,1381,2804,6.66346153846154,648648,17,0.55,TRUE,1
1543,1388,2801,7.26223776223776,594022,18,0.58,TRUE,1
1543,1397,2796,7.6,574750,19,0.67,TRUE,1
1543,1399,2785,7.25684931506849,618748,20,0.41,TRUE,1
1543,1408,2792,8.57201646090535,506169,21,0.54,TRUE,1
1543,1405,2794,7.71851851851852,562680,22,0.64,TRUE,1
1543,1401,2799,7.83018867924528,549875,23,0.62,TRUE,1
1543,1396,2802,8.18181818181818,523710,24,0.75,TRUE,1
1543,1392,2796,11.9080459770115,90132,25,0.62,TRUE,1
1543,1385,2798,8.08560311284047,534046,26,0.6,TRUE,1
1543,1380,2794,8.30555555555556,527436,27,0.41,TRUE,1
1543,1375,2793,8.14396887159533,537901,28,0.42,TRUE,1
1543,1367,2794,7.78731343283582,559316,29,0.5,TRUE,1
1543,1365,2804,7.79545454545455,543312,30,0.49,TRUE,1
1543,1360,2808,8.03515625,526592,31,0.49,TRUE,1
1543,1357,2802,7.87878787878788,549120,32,0.61,TRUE,1
1543,1346,2795,10.1869918699187,154119,33,0.56,TRUE,1
1543,1323,2787,9.04285714285714,177240,34,0.53,TRUE,1
1543,1330,2791,9.08260869565218,480470,35,0.55,TRUE,1
1543,1325,2792,9.10434782608696,481620,36,0.57,TRUE,1
1543,1321,2789,9.02575107296137,489999,37,0.62,TRUE,1
1543,1316,2796,8.45394736842105,195320,38,0.79,TRUE,1
1543,1311,2789,8.13924050632912,203188,39,0.83,TRUE,1
1543,1310,2794,8.36363636363636,198352,40,0.78,TRUE,1
1543,1303,2766,7.91636363636364,598675,41,0.69,TRUE,1
1543,1300,2750,7.7112676056338,621960,42,0.76,TRUE,1
1543,1309,2756,8.59760956175299,541658,43,0.49,TRUE,1
1543,1306,2752,8.56299212598425,552450,44,0.8,TRUE,1
1543,1308,2750,8.00367647058824,592144,45,0.6,TRUE,1
1543,1300,2740,9.29197080291971,174401,46,0.78,TRUE,1
1543,1299,2736,6.82352941176471,711892,47,0.82,TRUE,1
1543,1306,2743,8.35064935064935,198044,48,0.8,TRUE,1
1543,1323,2750,8.66438356164384,184690,49,0.77,TRUE,1
1543,1325,2750,8.86986301369863,189070,50,0.74,TRUE,1
1543,1318,2747,8.74829931972789,189042,51,0.79,TRUE,1
1543,1321,2747,8.48344370860927,193431,52,0.75,TRUE,1
1543,1320,2746,9.08450704225352,183180,53,0.72,TRUE,1
1543,1328,2757,8.16993464052288,191250,54,0.36,TRUE,1
1543,1329,2764,8.88275862068966,186760,55,0.33,TRUE,1
1543,1334,2767,8.73154362416107,193849,56,0.34,TRUE,1
1543,1318,2757,8.54,192150,57,0.39,TRUE,1
1543,1319,2759,8.47368421052632,195776,58,0.15,TRUE,1
1543,1307,2755,8.34640522875817,195381,59,0.43,TRUE,1
1543,1281,2746,8.5,191250,60,0.58,TRUE,1
