object+AF8-id,centroids+AF8-x,centroids+AF8-y,aspect+AF8-ratio,area,frames,scores,counted,ground_truth
1,248,1218,0,0,0,0.79,TRUE,1
1,248,1219,8.80733944954129,104640,1,0.82,TRUE,1
1,246,1228,8.88288288288288,109446,2,0.81,TRUE,1
1,247,1234,8.98165137614679,106711,3,0.75,TRUE,1
1,247,1235,9.00917431192661,107038,4,0.76,TRUE,1
1,245,1226,8.57522123893805,109497,5,0.79,TRUE,1
1,246,1235,8.82608695652174,116725,6,0.79,TRUE,1
1,247,1236,8.6695652173913,114655,7,0.8,TRUE,1
1,248,1241,8.77391304347826,116035,8,0.7,TRUE,1
1,249,1236,8.54464285714286,107184,9,0.82,TRUE,1
1,250,1236,8.58558558558559,105783,10,0.77,TRUE,1
1,254,1249,8.58928571428571,107744,11,0.76,TRUE,1
1,256,1252,8.7037037037037,101520,12,0.83,TRUE,1
1,259,1252,8.71296296296296,101628,13,0.87,TRUE,1
1,263,1254,8.99047619047619,99120,14,0.87,TRUE,1
1,266,1256,9.10576923076923,98488,15,0.87,TRUE,1
1,269,1256,9.11428571428571,100485,16,0.87,TRUE,1
1,270,1261,9.54368932038835,101249,17,0.85,TRUE,1
1,272,1267,9.60952380952381,105945,18,0.87,TRUE,1
1,273,1262,9.52941176470588,99144,19,0.87,TRUE,1
1,271,1249,9.58,95800,20,0.87,TRUE,1
1,270,1247,10.020202020202,98208,21,0.87,TRUE,1
1,272,1247,9.85576923076923,106600,22,0.88,TRUE,1
1,276,1252,10.4949494949495,102861,23,0.88,TRUE,1
1,279,1238,10.3020833333333,94944,24,0.87,TRUE,1
1,283,1242,10.65625,98208,25,0.88,TRUE,1
1,286,1240,10.5106382978723,92872,26,0.87,TRUE,1
1,292,1252,10.4489795918367,100352,27,0.88,TRUE,1
1,300,1264,10.1862745098039,105978,28,0.88,TRUE,1
1,305,1269,10.5408163265306,101234,29,0.87,TRUE,1
1,310,1280,10.5353535353535,103257,30,0.85,TRUE,1
1,314,1275,10.1980198019802,104030,31,0.85,TRUE,1
1,319,1267,9.69230769230769,104832,32,0.85,TRUE,1
1,326,1252,9.69,96900,33,0.15,TRUE,1
1,336,1265,9.19642857142857,115360,34,0.87,TRUE,1
1,346,1272,9.22018348623853,109545,35,0.35,TRUE,1
1,351,1277,10.1188118811881,103222,36,0.16,TRUE,1
1,362,1274,9.13761467889908,108564,37,0.87,TRUE,1
1,370,1264,9.2621359223301,98262,38,0.78,TRUE,1
1,373,1255,9.47524752475248,96657,39,0.85,TRUE,1
1,380,1250,9.10377358490566,102290,40,0.13,TRUE,1
1,388,1254,9.30555555555556,108540,41,0.28,TRUE,1
1,390,1248,9.50476190476191,104790,42,0.66,TRUE,1
1,392,1239,9.5,114950,43,0.76,TRUE,1
1,393,1221,10.1047619047619,111405,44,0.77,TRUE,1
1,393,1204,10.4950495049505,107060,45,0.81,TRUE,1
1,394,1188,11.2234042553192,99170,46,0.78,TRUE,1
1,402,1178,11.2978723404255,99828,47,0.58,TRUE,1
1,413,1179,11.3829787234043,100580,48,0.22,TRUE,1
1,424,1182,11.4893617021277,101520,49,0.86,TRUE,1
1,432,1188,11.7826086956522,99728,50,0.85,TRUE,1
1,445,1188,11.2631578947368,101650,51,0.87,TRUE,1
1,458,1188,11.5869565217391,98072,52,0.87,TRUE,1
1,465,1185,11.6521739130435,98624,53,0.88,TRUE,1
1,472,1182,11.8021978021978,97734,54,0.88,TRUE,1
1,480,1183,11.1958762886598,105342,55,0.89,TRUE,1
1,488,1182,10.4230769230769,112736,56,0.87,TRUE,1
1,494,1177,10.1588785046729,116309,57,0.87,TRUE,1
1,499,1169,9.80357142857143,122976,58,0.87,TRUE,1
1,501,1157,9.84545454545455,119130,59,0.87,TRUE,1
1,502,1149,9.51304347826087,125810,60,0.54,TRUE,1
1,505,1139,9.26050420168067,131138,61,0.68,TRUE,1
1,504,1131,9.75221238938053,124526,62,0.69,TRUE,1
