object+AF8-id,centroids+AF8-x,centroids+AF8-y,aspect+AF8-ratio,area,frames,scores,counted,ground+AF8-truth
781,38,1551,0,0,54,0.59,TRUE,1
781,45,1614,6.57303370786517,52065,55,0.8,TRUE,1
781,54,1662,5.99038461538462,64792,56,0.86,TRUE,1
781,63,1717,5.67741935483871,87296,57,0.13,TRUE,1
781,71,1767,5.48611111111111,113760,58,0.88,TRUE,1
781,85,1827,5.5,166518,59,0.91,TRUE,1
781,99,1900,5.6078431372549,233376,60,0.87,TRUE,1
781,113,1981,5.74778761061947,293574,61,0.9,TRUE,1
781,129,2083,5.77307692307692,390260,62,0.9,TRUE,1
781,145,2293,6.85813148788927,572798,63,0.89,TRUE,1
781,159,2398,6.60063897763578,646658,64,0.93,TRUE,1
781,179,2430,6.15044247787611,706815,65,0.16,TRUE,1
781,207,2433,6.18694362017804,702645,66,0.38,TRUE,1
781,239,2436,6.11884057971015,728295,67,0.36,TRUE,1
781,272,2442,6.08187134502924,711360,68,0.93,TRUE,1
781,310,2447,6.10557184750733,709962,69,0.26,TRUE,1
781,343,2445,6.15,710940,70,0.92,TRUE,1
781,375,2431,6.02840909090909,746944,71,0.91,TRUE,1
781,407,2443,6.20118343195266,708448,72,0.9,TRUE,1
781,436,2448,5.98270893371758,720372,73,0.91,TRUE,1
781,469,2442,6.06086956521739,721395,74,0.93,TRUE,1
781,502,2430,5.9327731092437,756126,75,0.91,TRUE,1
781,529,2442,5.75706214689266,721452,76,0.9,TRUE,1
781,558,2434,6.03170028818444,726271,77,0.9,TRUE,1
781,586,2433,5.90084985835694,735299,78,0.89,TRUE,1
781,611,2445,5.74366197183099,723845,79,0.9,TRUE,1
781,636,2441,5.90489913544669,711003,80,0.9,TRUE,1
781,665,2438,5.75977653631285,738196,81,0.92,TRUE,1
781,693,2441,5.52702702702703,756650,82,0.9,TRUE,1
781,721,2433,5.67313019390582,739328,83,0.9,TRUE,1
781,747,2437,5.82621082621083,717795,84,0.9,TRUE,1
781,776,2427,5.77653631284916,740344,85,0.88,TRUE,1
781,803,2430,5.80225988700565,727116,86,0.89,TRUE,1
781,830,2427,5.79320113314448,721885,87,0.9,TRUE,1
781,858,2420,5.70637119113573,743660,88,0.92,TRUE,1
781,887,2412,5.66847826086957,767648,89,0.89,TRUE,1
781,917,2398,5.68579234972678,761646,90,0.92,TRUE,1
781,945,2402,5.62942779291553,758222,91,0.4,TRUE,1
781,978,2396,5.69105691056911,774900,92,0.1,TRUE,1
781,1006,2401,5.76164383561644,767595,93,0.88,TRUE,1
781,1035,2396,5.55555555555556,793800,94,0.26,TRUE,1
781,1068,2379,5.55813953488372,832437,95,0.15,TRUE,1
781,1104,2372,5.47692307692308,833040,96,0.92,TRUE,1
781,1138,2367,5.45454545454545,855360,97,0.89,TRUE,1
781,1168,2364,5.54639175257732,834976,98,0.88,TRUE,1
781,1203,2366,5.55837563451777,862860,99,0.89,TRUE,1
781,1235,2366,5.40740740740741,886950,100,0.91,TRUE,1
781,1262,2369,5.35960591133005,883456,101,0.91,TRUE,1
781,1289,2409,5.16919191919192,810612,102,0.9,TRUE,1
781,1315,2432,5.0425,806800,103,0.9,TRUE,1
781,1342,2446,5.02222222222222,823770,104,0.9,TRUE,1
781,1365,2450,5.15228426395939,799820,105,0.91,TRUE,1
781,1392,2451,5.115,818400,106,0.9,TRUE,1
781,1418,2449,5.00488997555012,837223,107,0.14,TRUE,1
781,1439,2455,4.97820823244552,849128,108,0.9,TRUE,1
781,1459,2468,5.1675,826800,109,0.86,TRUE,1
781,1478,2476,5.18341708542714,821074,110,0.81,TRUE,1
781,1498,2477,5.05432098765432,829035,111,0.19,TRUE,1
781,1520,2478,4.93734939759036,850335,112,0.91,TRUE,1
781,1542,2490,5.12373737373737,803484,113,0.11,TRUE,1
781,1558,2479,5.14214463840399,826862,114,0.92,TRUE,1
781,1580,2477,5.25879396984925,833014,115,0.17,TRUE,1
781,1606,2454,5.11650485436893,868496,116,0.13,TRUE,1
781,1632,2457,5.13447432762836,858900,117,0.88,TRUE,1
781,1661,2520,4.93896713615024,896304,118,0.71,TRUE,1
781,1688,2468,5.14111922141119,868443,119,0.89,TRUE,1
781,1718,2431,5.23798076923077,906464,120,0.87,TRUE,1
781,1752,2405,5.32932692307692,922272,121,0.86,TRUE,1
781,1789,2406,5.1563981042654,918272,122,0.88,TRUE,1
781,1819,2410,4.95730337078652,981670,123,0.85,TRUE,1
781,1857,2406,4.99772727272727,967560,124,0.87,TRUE,1
781,1889,2379,5.07466063348416,991406,125,0.85,TRUE,1
781,1919,2379,4.91946308724832,982953,126,0.88,TRUE,1
781,1947,2359,5.30444964871194,967155,127,0.89,TRUE,1
781,1963,2386,5.44444444444445,893025,128,0.87,TRUE,1
781,1977,2421,5.42368421052632,783180,129,0.88,TRUE,1
781,1986,2482,5.73424657534247,763945,130,0.58,TRUE,1
781,1998,2535,5.74303405572755,599165,131,0.79,TRUE,1
781,2007,2574,6.02866242038217,594402,132,0.81,TRUE,1
781,2020,2578,10.0508474576271,314883,133,0.79,TRUE,1
781,2027,2581,8.94179894179894,319410,134,0.6,TRUE,1
781,2039,2610,8.50251256281407,336708,135,0.24,TRUE,1
781,2044,2726,8.00450450450451,394494,136,0.34,TRUE,1
781,2062,2781,8.78846153846154,380224,137,0.55,TRUE,1
781,2075,2864,8.14732142857143,408800,138,0.59,TRUE,1
781,2094,2962,7.97391304347826,421820,139,0.57,TRUE,1
781,2107,3025,8.5695067264574,426153,140,0.44,TRUE,1
791,62,2028,0,0,130,0.85,TRUE,1
791,72,2139,5.74303405572755,599165,131,0.84,TRUE,1
791,85,2224,6.02866242038217,594402,132,0.83,TRUE,1
791,89,2337,10.0508474576271,314883,133,0.83,TRUE,1
791,96,2363,8.94179894179894,319410,134,0.77,TRUE,1
791,105,2386,8.50251256281407,336708,135,0.8,TRUE,1
791,121,2403,8.00450450450451,394494,136,0.78,TRUE,1
791,136,2453,8.78846153846154,380224,137,0.7,TRUE,1
791,157,2468,8.14732142857143,408800,138,0.7,TRUE,1
791,190,2446,7.97391304347826,421820,139,0.85,TRUE,1
791,210,2484,8.5695067264574,426153,140,0.86,TRUE,1
791,237,2484,8.30252100840336,470288,141,0.83,TRUE,1
791,265,2550,8.85714285714286,562464,142,0.73,TRUE,1
791,293,2620,9.312,582000,143,0.82,TRUE,1
791,317,2636,8.96212121212121,624624,144,0.85,TRUE,1
791,344,2643,8.98449612403101,598044,145,0.84,TRUE,1
791,361,2664,7.96283783783784,697672,146,0.89,TRUE,1
791,399,2577,8.81224489795918,528955,147,0.87,TRUE,1
791,426,2615,9.00389105058366,594698,148,0.8,TRUE,1
791,457,2596,8.49438202247191,605556,149,0.84,TRUE,1
791,493,2463,7.53361344537815,426734,150,0.8,TRUE,1
791,512,2544,8.56451612903226,526752,151,0.81,TRUE,1
791,545,2569,8.66279069767442,576630,152,0.85,TRUE,1
791,572,2634,8.53479853479854,636090,153,0.85,TRUE,1
791,601,2496,6.97014925373134,500624,154,0.85,TRUE,1
791,633,2528,8.11363636363636,565488,155,0.83,TRUE,1
791,660,2504,7.5018315018315,559104,156,0.84,TRUE,1
