object_id,centroids_x,centroids_y,aspect_ratio,area,frames,scores,counted,ground_truth
113,22,1386,0.0,0.0,129,0.13,False,False
113,84,1405,2.70807453416149e+16,70196.0,140,0.11,False,False
113,85,1406,2607843137254900.0,61047.0,141,0.12,False,False
113,71,1428,2.48461538461538e+16,41990.0,142,0.57,False,False
113,55,1467,2.66666666666666e+16,26136.0,143,0.77,False,False
113,42,1510,2617283950617280.0,17172.0,144,0.45,False,False
113,33,1526,2.45588235294117e+16,11356.0,145,0.19,False,False
141,306,1153,0.0,0.0,146,0.2,False,False
141,291,1157,1.56962025316455e+16,480004.0,147,0.44,False,False
141,282,1162,1.59369202226345e+16,463001.0,148,0.44,False,False
141,289,1162,1.61478599221789e+16,426620.0,149,0.56,False,False
141,279,1154,1.60611854684512e+16,439320.0,150,0.67,False,False
141,277,1155,1658051689860830.0,419502.0,151,0.19,False,False
141,258,1148,1748945147679320.0,392946.0,153,0.22,False,False
141,242,1147,1.78213507625272e+16,375462.0,154,0.56,False,False
141,232,1150,1766884531590410.0,372249.0,155,0.66,False,False
141,220,1165,1.88038277511961e+16,328548.0,156,0.37,False,False
141,211,1171,1948019801980190.0,317948.0,157,0.22,False,False
141,199,1182,2073298429319370.0,302544.0,158,0.54,False,False
141,186,1189,2.42857142857142e+16,274176.0,159,0.44,False,False
141,171,1198,2621019108280250.0,258422.0,160,0.68,False,False
141,155,1214,2702341137123740.0,241592.0,161,0.89,False,False
141,150,1227,2888888888888880.0,239616.0,162,0.38,False,False
141,139,1246,3007380073800730.0,220865.0,163,0.74,False,False
141,121,1261,3.50862068965517e+16,188848.0,164,0.79,False,False
141,107,1284,3859154929577460.0,175086.0,165,0.69,False,False
141,99,1301,4088669950738910.0,168490.0,166,0.12,False,False
141,92,1302,4348958333333330.0,160320.0,167,0.17,False,False
141,84,1310,4775862068965510.0,144594.0,168,0.31,False,False
141,80,1317,5024096385542160.0,138444.0,169,0.29,False,False
141,75,1310,1.40287769784172e+16,27105.0,170,0.14,False,False
141,67,1318,1.38333333333333e+16,19920.0,171,0.19,False,False
166,103,1601,0.0,0.0,166,0.71,False,False
166,97,1600,4348958333333330.0,160320.0,167,0.72,False,False
166,94,1616,4775862068965510.0,144594.0,168,0.41,False,False
166,91,1633,5024096385542160.0,138444.0,169,0.29,False,False
166,80,1631,1.40287769784172e+16,27105.0,170,0.29,False,False
166,69,1638,1.38333333333333e+16,19920.0,171,0.43,False,False
166,54,1654,1422680412371130.0,13386.0,172,0.14,False,False
177,1050,781,0.0,0.0,177,0.28,False,False
177,1037,801,46375.0,29680.0,178,0.13,False,False
177,1028,786,3898989898989890.0,38214.0,180,0.29,False,False
177,1036,774,4.92,27675.0,181,0.48,False,False
177,1038,765,4.94805194805194e+16,29337.0,182,0.45,False,False
177,1037,770,4619047619047610.0,32592.0,183,0.38,False,False
177,983,784,4.09,40900.0,189,0.13,False,False
177,955,785,4.0576923076923e+16,43888.0,190,0.24,False,False
177,855,775,3.74545454545454e+16,181280.0,194,0.11,False,False
177,815,763,3712328767123280.0,178047.0,196,0.11,False,False
177,760,754,3.86238532110091e+16,183556.0,199,0.16,False,False
189,977,991,0.0,0.0,191,0.65,True,True Positive
189,966,988,3690582959641250.0,183529.0,192,0.69,True,True Positive
189,945,995,3.710407239819e+16,181220.0,193,0.47,True,True Positive
189,928,994,3.74545454545454e+16,181280.0,194,0.52,True,True Positive
189,935,993,481437125748503.0,134268.0,195,0.33,True,True Positive
189,907,991,3712328767123280.0,178047.0,196,0.59,True,True Positive
189,870,991,3.4322033898305e+16,191160.0,197,0.5,True,True Positive
189,855,993,3.97549019607843e+16,165444.0,198,0.68,True,True Positive
189,843,982,3.86238532110091e+16,183556.0,199,0.58,True,True Positive
189,842,986,4158415841584150.0,169680.0,200,0.22,True,True Positive
189,837,991,3.90047393364928e+16,173653.0,201,0.45,True,True Positive
189,819,993,3.5439330543933e+16,202433.0,202,0.57,True,True Positive
189,814,999,4039408866995070.0,166460.0,203,0.22,True,True Positive
189,808,998,408457711442786.0,165021.0,204,0.69,True,True Positive
189,802,1002,4149253731343280.0,167634.0,205,0.65,True,True Positive
189,797,1002,4261306532663310.0,168752.0,206,0.73,True,True Positive
189,802,1004,4.27272727272727e+16,167508.0,207,0.79,True,True Positive
189,804,1006,4.32323232323232e+16,169488.0,208,0.23,True,True Positive
189,805,1015,4267676767676760.0,167310.0,209,0.64,True,True Positive
189,778,1013,429047619047619.0,189210.0,211,0.2,True,True Positive
189,758,1022,4527638190954770.0,179299.0,212,0.42,True,True Positive
189,741,1021,484180790960452.0,151689.0,213,0.33,True,True Positive
189,743,1089,6166666666666660.0,71928.0,214,0.5,True,True Positive
189,670,1051,4120772946859900.0,176571.0,217,0.18,True,True Positive
189,632,1024,4004587155963300.0,190314.0,218,0.46,True,True Positive
189,602,1015,3968888888888880.0,200925.0,219,0.53,True,True Positive
189,609,1123,4758620689655170.0,64032.0,220,0.37,True,True Positive
189,563,1055,446078431372549.0,185640.0,221,0.45,True,True Positive
189,530,1028,5114130434782600.0,173144.0,222,0.34,True,True Positive
189,527,1016,4.37681159420289e+16,187542.0,223,0.57,True,True Positive
189,521,1008,4338028169014080.0,196812.0,224,0.67,True,True Positive
189,506,1011,5241379310344820.0,158688.0,225,0.2,True,True Positive
189,472,1006,4783505154639170.0,180032.0,226,0.45,True,True Positive
189,448,1001,5.27272727272727e+16,163328.0,227,0.44,True,True Positive
189,440,993,5189944134078210.0,166291.0,228,0.54,True,True Positive
189,437,998,5.67701863354037e+16,147154.0,229,0.45,True,True Positive
189,431,997,5.47337278106508e+16,156325.0,230,0.5,True,True Positive
189,412,1005,5875.0,135736.0,231,0.44,True,True Positive
189,378,1015,5839506172839500.0,153252.0,232,0.55,True,True Positive
189,357,1024,5791411042944780.0,153872.0,233,0.61,True,True Positive
189,330,1022,6.21052631578947e+16,143488.0,234,0.52,True,True Positive
189,310,1028,6089743589743580.0,148200.0,235,0.44,True,True Positive
189,290,1026,5636363636363630.0,153450.0,236,0.63,True,True Positive
189,273,1032,6206896551724130.0,130500.0,237,0.6,True,True Positive
189,263,1037,5858585858585850.0,57420.0,238,0.21,True,True Positive
189,237,1032,6031578947368420.0,54435.0,239,0.19,True,True Positive
189,225,1116,6976470588235290.0,50405.0,240,0.12,True,True Positive
189,201,1166,7.8,43875.0,241,0.21,True,True Positive
189,180,1184,8273972602739720.0,44092.0,242,0.14,True,True Positive
189,133,1126,6056497175141240.0,189744.0,243,0.34,True,True Positive
189,99,1088,5859649122807010.0,171342.0,244,0.69,True,True Positive
189,75,1091,670945945945946.0,146964.0,245,0.57,True,True Positive
189,50,1083,9.11,91100.0,246,0.67,True,True Positive
189,29,1124,12.5,48050.0,247,0.84,True,True Positive
189,17,1077,1.22916666666666e+16,28320.0,248,0.37,True,True Positive
189,10,962,7702702702702700.0,10545.0,249,0.2,True,True Positive
231,161,839,0.0,0.0,238,0.78,False,False
231,138,837,6031578947368420.0,54435.0,239,0.68,False,False
231,121,837,6976470588235290.0,50405.0,240,0.8,False,False
231,105,840,7.8,43875.0,241,0.73,False,False
231,89,848,8273972602739720.0,44092.0,242,0.66,False,False
248,298,919,0.0,0.0,253,0.11,False,False
248,274,914,8.94,22350.0,254,0.23,False,False
248,232,919,8702127659574460.0,19223.0,256,0.68,False,False
248,207,924,7.43636363636363e+16,22495.0,257,0.3,False,False
248,187,924,9425531914893610.0,20821.0,258,0.14,False,False
248,178,931,7633333333333330.0,27480.0,259,0.26,False,False
248,167,930,6783333333333330.0,24420.0,260,0.33,False,False
248,164,930,7241379310344820.0,24360.0,261,0.15,False,False
248,166,925,8816326530612240.0,21168.0,262,0.62,False,False
248,155,926,8854166666666660.0,20400.0,263,0.19,False,False
248,125,951,7098360655737700.0,26413.0,264,0.21,False,False
248,90,934,8075471698113200.0,22684.0,265,0.39,False,False
248,74,929,6333333333333330.0,35625.0,266,0.26,False,False
248,71,935,58875.0,37680.0,267,0.66,False,False
248,63,930,8142857142857140.0,19551.0,268,0.23,False,False
248,48,926,6811594202898550.0,32430.0,269,0.26,False,False
256,1050,896,0.0,0.0,257,0.68,False,False
256,1047,846,9425531914893610.0,20821.0,258,0.42,False,False
256,1036,882,7633333333333330.0,27480.0,259,0.43,False,False
256,1037,903,6783333333333330.0,24420.0,260,0.64,False,False
256,1044,918,7241379310344820.0,24360.0,261,0.59,False,False
256,1051,927,8816326530612240.0,21168.0,262,0.79,False,False
256,1054,936,8854166666666660.0,20400.0,263,0.73,False,False
