object_id,centroids_x,centroids_y,aspect_ratio,area,frames,scores,counted,ground_truth
149,37,854,0,0,176,0.77,TRUE,1
149,49,1298,11.79,117900,177,0.68,TRUE,1
149,58,1381,9.94915254237288,138532,178,0.78,TRUE,1
149,60,1399,9.85470085470085,134901,179,0.65,TRUE,1
149,55,1469,9.74489795918367,93590,180,0.8,TRUE,1
149,65,1491,9.00961538461538,97448,181,0.83,TRUE,1
149,82,1489,9.41584158415841,96051,182,0.83,TRUE,1
149,103,1484,8.96226415094339,100700,183,0.83,TRUE,1
149,122,1478,9.34313725490196,97206,184,0.83,TRUE,1
149,133,1461,8.89189189189189,109557,185,0.57,TRUE,1
149,155,1423,9.21367521367521,126126,186,0.61,TRUE,1
149,173,1402,8.88617886178861,134439,187,0.87,TRUE,1
149,196,1389,9.35593220338983,130272,188,0.83,TRUE,1
149,221,1388,9.38793103448275,126324,189,0.79,TRUE,1
149,244,1381,9.86607142857142,123760,190,0.82,TRUE,1
149,267,1395,9.95283018867924,111830,191,0.81,TRUE,1
149,289,1377,10.2181818181818,123640,192,0.85,TRUE,1
149,310,1372,9.44915254237288,131570,193,0.85,TRUE,1
149,333,1379,9.44347826086956,124890,194,0.84,TRUE,1
149,356,1379,9.85585585585585,121434,195,0.87,TRUE,1
149,379,1369,10.5849056603773,118932,196,0.85,TRUE,1
149,401,1366,10.3703703703703,120960,197,0.85,TRUE,1
149,421,1377,10.3142857142857,113715,198,0.85,TRUE,1
149,440,1372,10.5523809523809,116340,199,0.85,TRUE,1
149,456,1384,9.66363636363636,116930,200,0.88,TRUE,1
149,475,1380,9.55263157894736,124146,201,0.87,TRUE,1
149,495,1372,10.2777777777777,119880,202,0.86,TRUE,1
149,511,1363,10.5420560747663,120696,203,0.86,TRUE,1
149,526,1362,10.4485981308411,119626,204,0.84,TRUE,1
149,543,1363,10.4018691588785,119091,205,0.87,TRUE,1
149,560,1362,10.4579439252336,119733,206,0.86,TRUE,1
149,575,1363,10.2385321100917,121644,207,0.87,TRUE,1
149,592,1364,10.1926605504587,121099,208,0.87,TRUE,1
149,607,1377,9.85321100917431,117066,209,0.85,TRUE,1
149,623,1371,9.96396396396396,122766,210,0.85,TRUE,1
149,640,1374,10,118810,211,0.88,TRUE,1
149,658,1368,10.2962962962962,120096,212,0.87,TRUE,1
149,676,1365,10.411214953271,119198,213,0.88,TRUE,1
149,692,1358,10.3669724770642,123170,214,0.88,TRUE,1
149,708,1362,10.3831775700934,118877,215,0.86,TRUE,1
149,728,1363,10.2018348623853,121208,216,0.87,TRUE,1
149,744,1368,10.1574074074074,118476,217,0.89,TRUE,1
149,761,1368,10.4056603773584,116918,218,0.88,TRUE,1
149,780,1370,10.0550458715596,119464,219,0.88,TRUE,1
149,798,1368,10.1467889908256,120554,220,0.87,TRUE,1
149,817,1369,9.90990990990991,122100,221,0.87,TRUE,1
149,837,1371,9.76785714285714,122528,222,0.9,TRUE,1
149,856,1376,9.92660550458715,117938,223,0.11,TRUE,1
149,875,1371,10.1192660550458,120227,224,0.33,TRUE,1
149,893,1375,9.94495412844036,118156,225,0.34,TRUE,1
149,909,1382,9.53571428571428,119616,226,0.43,TRUE,1
